job_title,industry,job_status,ai_impact_level,median_salary_usd,required_education,experience_required_years,job_openings_2024,projected_openings_2030,remote_work_ratio_percent,automation_risk_percent,location,gender_diversity_percent,growth_rate,risk_category
Tour manager,Retail,Decreasing,Low,80521.07,Bachelor’s Degree,6,3142,507,79.18,8.83,USA,74.74,-83.86378103119031,Low
Electrical engineer,Manufacturing,Increasing,Moderate,88804.87,Bachelor’s Degree,2,5614,3475,66.17,5.43,Germany,53.48,-38.1011756323477,Low
Armed forces logistics/support/administrative officer,Retail,Decreasing,Low,113965.96,Associate Degree,11,2103,3229,38.63,48.58,Germany,53.01,53.54255825011888,Medium
"Programmer, systems",Finance,Increasing,Low,131852.51,High School,9,1876,5623,20.29,7.3,UK,22.67,199.73347547974413,Low
Archivist,Finance,Decreasing,High,33072.25,Master’s Degree,7,2569,1514,83.28,83.87,Germany,52.41,-41.06656286492799,High
Tourist information centre manager,Retail,Increasing,High,46195.73,Associate Degree,8,7005,8436,8.68,89.63,Brazil,77.46,20.428265524625267,High
Occupational therapist,Manufacturing,Increasing,Moderate,82210.61,PhD,20,7442,8558,47.66,20.84,Brazil,57.67,14.995968825584521,Low
General practice doctor,Transportation,Increasing,High,94118.58,PhD,0,4069,5391,99.88,21.59,USA,37.47,32.489555173261245,Low
Air cabin crew,Retail,Decreasing,Low,96498.83,Master’s Degree,10,815,1655,50.9,46.38,USA,74.62,103.06748466257669,Medium
"Therapist, art",Retail,Decreasing,Moderate,74424.16,PhD,5,622,2406,47.96,53.24,USA,53.94,286.81672025723475,Medium
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,76301.45,Bachelor’s Degree,5,9510,9086,86.47,57.29,China,43.21,-4.458464773922187,Medium
Herbalist,Manufacturing,Increasing,High,106276.67,Master’s Degree,11,813,2546,95.92,50.01,India,64.31,213.16113161131614,Medium
Technical brewer,Education,Decreasing,Moderate,114843.48,PhD,12,9965,2903,91.98,43.49,Brazil,46.01,-70.86803813346714,Medium
Water engineer,Entertainment,Decreasing,Moderate,33122.25,Bachelor’s Degree,4,187,8383,21.9,8.62,USA,28.55,4382.8877005347595,Low
Animal technologist,Finance,Decreasing,Moderate,112646.79,Associate Degree,7,2976,8835,34.51,94.79,USA,27.37,196.875,High
Clothing/textile technologist,Finance,Decreasing,Moderate,128177.18,Master’s Degree,12,7678,5185,22.6,54.03,Brazil,33.84,-32.469393071112265,Medium
Site engineer,Education,Decreasing,High,87311.09,Master’s Degree,17,4517,3138,15.96,86.18,Australia,51.11,-30.529112242638917,High
Cabin crew,Retail,Decreasing,High,93530.19,Associate Degree,15,4742,4747,92.46,19.9,UK,53.04,0.10544074230282581,Low
Estate manager/land agent,Retail,Increasing,Moderate,41380.56,PhD,5,701,3748,72.19,22.63,Germany,47.46,434.66476462196863,Low
Database administrator,Entertainment,Decreasing,High,61072.12,Bachelor’s Degree,17,5028,7954,13.43,23.69,Brazil,59.66,58.19411296738266,Low
"Teacher, music",Manufacturing,Decreasing,High,147474.55,PhD,17,3722,8025,95.69,54.06,Canada,66.61,115.60988715744223,Medium
Clinical embryologist,IT,Increasing,Moderate,99763.19,Associate Degree,16,6683,3285,74.98,71.29,Australia,37.61,-50.84542869968577,High
Photographer,Retail,Increasing,Moderate,39219.27,Bachelor’s Degree,19,3161,1466,89.91,91.28,Brazil,43.23,-53.622271433090795,High
Consulting civil engineer,Transportation,Increasing,Low,47345.9,High School,15,5603,6775,71.4,85.49,China,76.68,20.917365696948064,High
"Designer, multimedia",Finance,Increasing,Low,36480.96,PhD,1,3400,2048,42.57,23.04,China,62.43,-39.76470588235294,Low
Architectural technologist,Education,Increasing,High,112692.04,High School,16,2870,9159,51.62,50.77,China,20.36,219.12891986062718,Medium
Acupuncturist,Retail,Decreasing,Low,53447.29,Bachelor’s Degree,17,7125,470,85.94,78.62,Brazil,67.13,-93.40350877192982,High
"Engineer, technical sales",Manufacturing,Increasing,Low,66531.98,Bachelor’s Degree,20,6137,8584,80.82,20.06,China,60.05,39.87290206941502,Low
"Engineer, mining",Healthcare,Decreasing,Low,115731.01,PhD,12,6625,5265,96.13,78.58,China,22.78,-20.528301886792452,High
"Investment banker, operational",Education,Increasing,High,48522.58,PhD,2,3494,1524,89.76,88.44,UK,40.62,-56.38236977676016,High
Manufacturing engineer,Transportation,Decreasing,Low,95483.65,High School,4,5842,2181,54.32,65.13,Germany,40.78,-62.66689489900719,Medium
"Librarian, public",Education,Increasing,High,145028.73,High School,4,7767,669,48.68,94.53,Germany,60.52,-91.3866357667053,High
Air broker,Transportation,Decreasing,Moderate,134199.76,Bachelor’s Degree,9,5919,7865,6.29,73.96,India,37.44,32.877175198513264,High
Counselling psychologist,Finance,Increasing,Low,129086.95,Associate Degree,10,8436,7321,86.99,92.97,Australia,27.0,-13.217164532954007,High
Microbiologist,Finance,Increasing,High,49354.81,High School,13,7779,2602,15.01,5.23,Brazil,47.94,-66.55097056176886,Low
Quarry manager,Entertainment,Decreasing,High,78151.66,PhD,12,1542,224,93.08,38.05,China,27.12,-85.473411154345,Low
Speech and language therapist,Finance,Decreasing,Low,142772.8,Associate Degree,6,8551,7427,1.56,14.37,UK,73.21,-13.14466144310607,Low
Ranger/warden,Retail,Increasing,Moderate,77414.15,Associate Degree,16,1135,1815,28.29,30.13,Brazil,22.82,59.91189427312775,Low
Animal nutritionist,Retail,Decreasing,Low,132109.73,PhD,9,1393,5492,44.12,82.2,China,64.51,294.2569992821249,High
Ecologist,Education,Increasing,Low,101582.62,Master’s Degree,17,2010,4265,76.32,33.41,USA,34.36,112.18905472636816,Low
"Engineer, civil (contracting)",Finance,Increasing,High,126030.56,High School,16,6398,9686,10.28,45.75,India,67.3,51.391059706158174,Medium
Hospital pharmacist,IT,Increasing,Low,63660.78,High School,8,6427,2431,35.98,45.38,Germany,64.92,-62.17519838182667,Medium
Police officer,Healthcare,Increasing,Low,73217.2,Bachelor’s Degree,14,1024,4511,36.72,75.12,USA,79.33,340.52734375,High
Research scientist (maths),Healthcare,Increasing,Moderate,94919.8,Bachelor’s Degree,12,1339,8007,18.1,67.66,India,31.77,497.98356982823,Medium
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,108805.77,High School,3,6086,1278,13.71,94.72,India,23.89,-79.00098586920802,High
Radiation protection practitioner,Education,Decreasing,Moderate,56786.75,Bachelor’s Degree,2,6513,5031,84.53,97.18,Brazil,61.5,-22.75449101796407,High
Database administrator,Healthcare,Decreasing,Moderate,132524.15,High School,7,9910,1918,96.0,71.28,Australia,29.85,-80.64581231079717,High
Advice worker,Entertainment,Increasing,Moderate,143518.25,Bachelor’s Degree,3,4866,2662,30.27,46.55,Canada,53.4,-45.293875873407316,Medium
Meteorologist,Finance,Increasing,Low,59422.0,Associate Degree,19,4293,8258,62.32,66.46,China,70.41,92.35965525273701,Medium
Aeronautical engineer,Entertainment,Decreasing,Moderate,47620.87,Associate Degree,12,9748,5026,96.93,42.37,China,51.55,-48.440705785802216,Medium
"Administrator, local government",Education,Increasing,Moderate,108313.35,PhD,11,3020,7776,72.28,52.13,China,47.94,157.4834437086093,Medium
Museum/gallery conservator,IT,Decreasing,High,115733.83,Master’s Degree,8,245,1348,82.8,82.18,USA,51.48,450.2040816326531,High
Technical author,Transportation,Increasing,Low,74976.7,PhD,9,6805,8708,54.31,48.3,Germany,59.53,27.964731814842025,Medium
Multimedia specialist,IT,Increasing,Moderate,45128.7,PhD,17,3983,4328,28.97,59.57,Germany,62.93,8.661812703991965,Medium
Counsellor,Retail,Increasing,High,86685.95,High School,3,2123,8756,6.46,98.3,China,21.56,312.43523316062175,High
"Engineer, maintenance (IT)",Entertainment,Decreasing,Low,65110.03,Associate Degree,20,9241,7360,97.91,61.47,Germany,32.58,-20.354939941564766,Medium
Fish farm manager,Healthcare,Decreasing,Moderate,95591.96,Bachelor’s Degree,19,5099,3767,3.67,29.38,UK,66.3,-26.122769170425574,Low
Ambulance person,Entertainment,Increasing,Low,115218.06,Master’s Degree,11,5664,726,79.7,14.22,Germany,54.18,-87.1822033898305,Low
Multimedia programmer,Manufacturing,Decreasing,High,91153.53,Bachelor’s Degree,17,5543,7847,42.83,97.81,China,45.09,41.56593902219015,High
Higher education lecturer,Manufacturing,Increasing,Moderate,39821.63,Master’s Degree,9,8656,1839,18.11,68.75,Australia,48.13,-78.75462107208872,Medium
Quantity surveyor,Manufacturing,Increasing,High,95652.17,Master’s Degree,18,2147,200,91.86,39.85,China,79.28,-90.68467629250117,Low
"Surveyor, commercial/residential",IT,Increasing,Low,74928.04,Bachelor’s Degree,8,6224,4765,97.13,51.86,USA,67.83,-23.441516709511568,Medium
Database administrator,Finance,Decreasing,High,30082.02,Bachelor’s Degree,18,5061,2666,95.49,53.61,Brazil,36.82,-47.322663505236115,Medium
Senior tax professional/tax inspector,Healthcare,Decreasing,High,68534.6,Associate Degree,0,2239,2287,16.95,11.31,UK,35.16,2.1438142027690934,Low
Interpreter,Education,Increasing,Moderate,100364.95,High School,9,3614,7433,83.06,9.25,UK,57.36,105.67238516878805,Low
Animator,Finance,Increasing,Low,56683.32,Master’s Degree,7,9468,1197,73.55,12.79,UK,33.48,-87.3574144486692,Low
"Exhibitions officer, museum/gallery",Entertainment,Increasing,Moderate,40113.86,PhD,1,5842,4041,99.69,29.24,India,43.07,-30.828483396097226,Low
Museum/gallery exhibitions officer,Finance,Decreasing,High,122712.77,PhD,13,7452,533,38.31,12.64,Germany,57.39,-92.84755770263017,Low
Press sub,Manufacturing,Increasing,Low,138559.19,PhD,2,1865,7124,8.34,6.68,Germany,78.01,281.98391420911526,Low
Automotive engineer,Healthcare,Increasing,Low,111482.46,Bachelor’s Degree,3,7139,2848,72.38,85.15,China,61.77,-60.10645748704301,High
Counselling psychologist,Transportation,Decreasing,Low,62522.17,High School,9,426,2184,0.43,1.31,UK,53.4,412.6760563380282,Low
Contractor,Education,Decreasing,Low,44542.32,Associate Degree,12,3008,5292,93.08,56.09,Germany,55.49,75.93085106382979,Medium
Animal nutritionist,Education,Increasing,Low,115671.06,High School,18,5068,1631,49.36,73.57,Canada,33.37,-67.81767955801105,High
Youth worker,Manufacturing,Increasing,Moderate,43802.25,Associate Degree,15,8052,7954,65.03,86.35,India,24.81,-1.2170889220069547,High
"Scientist, research (maths)",Healthcare,Decreasing,High,132375.17,Bachelor’s Degree,11,847,9885,81.56,1.97,USA,79.69,1067.060212514758,Low
Horticultural consultant,Finance,Increasing,High,137288.73,PhD,10,7120,7702,9.61,26.54,China,35.75,8.174157303370787,Low
Music therapist,Finance,Increasing,Moderate,31798.64,High School,9,7886,3875,77.57,16.72,USA,71.87,-50.86228759827542,Low
Careers adviser,Entertainment,Decreasing,Low,95635.67,Bachelor’s Degree,0,6192,575,8.04,11.56,Australia,68.89,-90.7138242894057,Low
Paediatric nurse,Manufacturing,Increasing,Low,103114.26,Associate Degree,6,4262,7171,27.99,72.44,Germany,64.8,68.25434068512436,High
Research scientist (physical sciences),Finance,Decreasing,High,129182.71,PhD,11,9680,9221,56.75,46.68,USA,54.16,-4.741735537190082,Medium
"Programmer, applications",Education,Increasing,Low,124163.37,PhD,10,6069,2051,92.95,26.41,UK,64.49,-66.20530565167243,Low
Child psychotherapist,IT,Decreasing,High,86255.49,Bachelor’s Degree,19,6848,6126,78.17,6.46,China,21.4,-10.54322429906542,Low
Early years teacher,Healthcare,Decreasing,Low,98270.84,Associate Degree,14,2100,4815,78.0,3.09,USA,35.38,129.2857142857143,Low
Armed forces technical officer,Entertainment,Increasing,High,125777.17,Master’s Degree,11,8080,8549,88.61,18.83,Canada,41.76,5.804455445544555,Low
Electrical engineer,IT,Increasing,High,96517.87,Associate Degree,9,2440,4924,50.73,76.44,USA,71.39,101.80327868852459,High
Statistician,Education,Decreasing,Moderate,66108.46,Master’s Degree,19,5190,9121,78.7,11.59,Germany,79.76,75.74181117533718,Low
Ambulance person,Manufacturing,Decreasing,Moderate,42123.55,PhD,11,3375,9427,81.03,27.86,USA,34.02,179.31851851851852,Low
Advertising account executive,Retail,Increasing,Moderate,79247.56,Bachelor’s Degree,18,148,4850,97.16,63.98,USA,52.83,3177.027027027027,Medium
Electronics engineer,Finance,Decreasing,High,135527.8,Master’s Degree,13,1496,6566,48.89,91.28,Canada,20.47,338.90374331550805,High
Advertising account planner,Healthcare,Increasing,Low,103605.72,PhD,19,8653,9418,82.02,16.14,Brazil,73.22,8.840864440078585,Low
Ergonomist,IT,Decreasing,High,125240.22,Bachelor’s Degree,20,3266,7064,90.05,75.5,Germany,64.37,116.2890385793019,High
Community arts worker,Education,Decreasing,Low,84259.31,Bachelor’s Degree,18,4979,5010,81.84,82.85,Germany,51.08,0.6226149829282989,High
Accounting technician,Manufacturing,Increasing,Moderate,143698.64,High School,19,7183,880,26.95,62.03,Brazil,69.01,-87.74885145482389,Medium
Magazine features editor,Finance,Decreasing,Moderate,137199.79,Master’s Degree,10,2277,424,5.01,60.0,UK,34.43,-81.379007465964,Medium
"Engineer, building services",Education,Decreasing,High,66477.58,Associate Degree,11,9791,2123,54.69,50.28,USA,20.69,-78.31682157083036,Medium
"Administrator, local government",Entertainment,Decreasing,High,89399.03,High School,17,6622,6520,85.77,30.99,Canada,54.39,-1.5403201449713078,Low
Bookseller,Entertainment,Increasing,Moderate,89906.41,Bachelor’s Degree,11,3007,8110,82.73,52.83,India,50.56,169.70402394413037,Medium
Cabin crew,Transportation,Increasing,Low,101774.94,Master’s Degree,18,4674,3718,91.55,62.82,UK,62.46,-20.4535729567822,Medium
Cartographer,Healthcare,Increasing,High,131835.84,PhD,16,6314,3279,65.18,86.96,UK,42.78,-48.06778587266392,High
Pensions consultant,IT,Increasing,Moderate,72306.22,PhD,4,1169,9952,93.25,52.89,USA,45.55,751.3259195893927,Medium
"Biochemist, clinical",Healthcare,Increasing,Low,144453.63,Master’s Degree,17,2732,8497,78.88,58.41,Germany,34.24,211.01756954612006,Medium
"Designer, ceramics/pottery",IT,Increasing,Moderate,90734.3,High School,20,9306,2830,65.81,29.91,Brazil,52.0,-69.58951214270364,Low
Dramatherapist,Entertainment,Increasing,Moderate,102041.25,Associate Degree,4,7973,2664,21.48,97.04,USA,67.23,-66.58723190768845,High
Herbalist,Transportation,Increasing,Moderate,32631.51,High School,7,918,374,5.79,55.59,UK,39.75,-59.25925925925925,Medium
Water engineer,Finance,Decreasing,Moderate,110089.08,Bachelor’s Degree,16,7984,4961,89.47,8.02,Australia,37.78,-37.86322645290581,Low
Training and development officer,Finance,Decreasing,High,31374.53,PhD,5,2519,1191,42.86,78.34,China,62.35,-52.71933306867804,High
Museum education officer,Education,Decreasing,High,106745.24,Master’s Degree,19,5590,5737,95.49,44.25,China,74.34,2.629695885509839,Medium
"Therapist, music",Entertainment,Increasing,High,118420.93,Master’s Degree,3,3071,6973,70.01,82.6,Canada,22.32,127.05958971019211,High
Materials engineer,Healthcare,Decreasing,Moderate,148555.76,Bachelor’s Degree,3,5613,3240,93.38,19.31,Australia,41.79,-42.27685729556387,Low
Clinical biochemist,Manufacturing,Decreasing,Low,42568.43,Bachelor’s Degree,20,659,5208,33.03,25.62,Canada,61.79,690.2883156297421,Low
Ceramics designer,Retail,Decreasing,Moderate,72211.3,High School,5,1073,1829,7.61,20.72,India,55.85,70.45666356011183,Low
Chiropodist,Retail,Increasing,Low,90116.03,High School,5,2667,1438,34.08,65.15,India,56.94,-46.08173978252719,Medium
Water engineer,Healthcare,Increasing,Moderate,64812.94,Master’s Degree,6,9794,5764,92.38,62.44,Australia,78.43,-41.14764141311007,Medium
Animal nutritionist,Education,Increasing,Low,41738.24,High School,6,9520,8776,81.51,46.78,Germany,67.35,-7.815126050420168,Medium
"Journalist, broadcasting",Finance,Increasing,High,64897.31,PhD,11,4540,1996,97.81,89.6,Germany,77.22,-56.0352422907489,High
Industrial buyer,IT,Decreasing,High,102496.94,Associate Degree,16,2846,5782,1.07,73.08,UK,41.77,103.16233309908644,High
Media buyer,Finance,Increasing,Low,59470.91,Bachelor’s Degree,4,3290,6658,18.64,12.1,Germany,51.41,102.37082066869301,Low
Legal executive,Healthcare,Decreasing,Moderate,73567.18,Bachelor’s Degree,1,8806,833,7.78,47.06,Germany,20.12,-90.54054054054053,Medium
"Doctor, hospital",IT,Increasing,Low,122469.19,Bachelor’s Degree,6,309,5365,42.61,72.0,USA,73.35,1636.2459546925568,High
Multimedia programmer,Finance,Decreasing,High,96261.78,PhD,3,1353,7982,29.41,26.71,Germany,25.9,489.9482631189948,Low
Risk manager,IT,Increasing,Moderate,54937.19,High School,10,6872,2619,25.13,98.3,China,28.15,-61.888824214202565,High
Youth worker,Manufacturing,Decreasing,High,110472.77,Associate Degree,3,4232,2368,95.97,85.69,Germany,36.53,-44.045368620037806,High
Recycling officer,IT,Increasing,Moderate,68625.46,PhD,12,103,8879,99.67,31.94,Brazil,57.07,8520.388349514564,Low
Travel agency manager,Transportation,Decreasing,High,140291.84,Master’s Degree,7,5362,2577,55.41,68.83,China,69.32,-51.93957478552779,Medium
"Teacher, secondary school",Entertainment,Decreasing,High,132906.71,High School,12,8912,3043,94.05,84.35,China,55.72,-65.85502692998205,High
Manufacturing engineer,Entertainment,Increasing,Moderate,109781.19,Master’s Degree,10,7670,3918,80.54,77.15,India,32.95,-48.91786179921773,High
Community pharmacist,Manufacturing,Increasing,Moderate,90408.82,High School,6,5240,4210,90.61,13.4,China,74.61,-19.65648854961832,Low
Tour manager,Entertainment,Increasing,Low,140099.43,Bachelor’s Degree,15,4340,9431,38.25,66.65,China,74.5,117.30414746543778,Medium
Quantity surveyor,Healthcare,Decreasing,Moderate,68263.29,Associate Degree,10,2507,8989,51.17,29.29,Germany,72.84,258.5560430793778,Low
Publishing rights manager,Finance,Decreasing,Moderate,80883.54,Associate Degree,4,5986,4880,39.83,48.48,Brazil,31.23,-18.476445038422987,Medium
Meteorologist,Education,Decreasing,Moderate,71383.18,Bachelor’s Degree,14,4574,6529,94.79,57.51,China,30.94,42.741582859641454,Medium
Volunteer coordinator,Retail,Decreasing,Moderate,113666.81,PhD,20,8957,9590,50.64,64.08,UK,76.18,7.0670983588255,Medium
Musician,Transportation,Decreasing,Moderate,130024.39,Associate Degree,3,7274,9294,73.46,84.23,India,43.97,27.770140225460544,High
"Sales professional, IT",Manufacturing,Increasing,High,62876.3,Master’s Degree,20,1271,3010,94.16,17.6,China,30.86,136.82140047206923,Low
Retail banker,Entertainment,Increasing,Moderate,46069.15,Master’s Degree,16,5443,7004,73.4,84.6,Australia,62.57,28.67903729560904,High
Games developer,Healthcare,Decreasing,High,99597.5,Bachelor’s Degree,17,2428,7840,58.46,62.17,Canada,55.81,222.8995057660626,Medium
"Accountant, chartered",Finance,Decreasing,Moderate,85551.09,Bachelor’s Degree,11,5257,9137,15.02,4.84,China,49.9,73.80635343351722,Low
"Teacher, primary school",IT,Decreasing,Moderate,78732.58,Bachelor’s Degree,14,2830,9661,56.16,92.38,India,77.44,241.37809187279152,High
IT sales professional,IT,Increasing,Low,96283.6,Associate Degree,18,5754,2434,94.27,35.21,India,44.54,-57.698992005561344,Low
Theatre stage manager,Manufacturing,Decreasing,Moderate,89456.87,Master’s Degree,12,8086,4981,93.93,22.39,Brazil,42.09,-38.399703190699974,Low
Museum/gallery curator,IT,Increasing,Low,134691.05,PhD,19,3828,6111,23.21,17.78,USA,65.8,59.639498432601876,Low
Petroleum engineer,Healthcare,Decreasing,Moderate,47291.39,PhD,4,9874,8279,44.42,36.64,India,39.32,-16.1535345351428,Low
